 Writing video to: /home/p06lab/PHYS/AnimatedDrawings/video.gif
         9977517 function calls (9599287 primitive calls) in 19.864 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       46    0.000    0.000    0.000    0.000 GL_1_3.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_1_4.py:1(<module>)
       47    0.000    0.000    0.000    0.000 GL_1_4.py:12(_f)
        2    0.000    0.000    0.001    0.001 GL_1_5.py:1(<module>)
       19    0.000    0.000    0.000    0.000 GL_1_5.py:12(_f)
        4    0.000    0.000    0.000    0.000 GL_1_5.py:43(<lambda>)
      680    0.001    0.000    0.016    0.000 GL_1_5.py:67(glBufferData)
        2    0.000    0.000    0.011    0.005 GL_2_0.py:1(<module>)
       93    0.000    0.000    0.001    0.000 GL_2_0.py:12(_f)
        6    0.000    0.000    0.000    0.000 GL_2_0.py:254(glGetShaderiv)
        2    0.000    0.000    0.000    0.000 GL_2_0.py:280(_afterCheck)
     1360    0.006    0.000    0.015    0.000 GL_2_0.py:422(glGetUniformLocation)
        3    0.000    0.000    0.001    0.000 GL_2_0.py:442(glVertexAttribPointer)
        2    0.000    0.000    0.001    0.000 GL_2_1.py:1(<module>)
        6    0.000    0.000    0.000    0.000 GL_2_1.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_3_0.py:1(<module>)
       84    0.000    0.000    0.001    0.000 GL_3_0.py:12(_f)
        2    0.000    0.000    0.000    0.000 GL_3_0.py:163(<lambda>)
        2    0.000    0.000    0.001    0.000 GL_3_1.py:1(<module>)
       15    0.000    0.000    0.000    0.000 GL_3_1.py:12(_f)
        2    0.000    0.000    0.001    0.001 GL_3_2.py:1(<module>)
       19    0.000    0.000    0.000    0.000 GL_3_2.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_3_3.py:1(<module>)
       58    0.000    0.000    0.000    0.000 GL_3_3.py:12(_f)
        2    0.000    0.000    0.002    0.001 GL_4_0.py:1(<module>)
       46    0.000    0.000    0.000    0.000 GL_4_0.py:12(_f)
        2    0.000    0.000    0.007    0.004 GL_4_1.py:1(<module>)
       89    0.000    0.000    0.001    0.000 GL_4_1.py:12(_f)
        2    0.000    0.000    0.005    0.003 GL_4_2.py:1(<module>)
       12    0.000    0.000    0.000    0.000 GL_4_2.py:12(_f)
        2    0.000    0.000    0.011    0.006 GL_4_3.py:1(<module>)
       44    0.000    0.000    0.000    0.000 GL_4_3.py:12(_f)
        2    0.000    0.000    0.001    0.000 GL_4_4.py:1(<module>)
        9    0.000    0.000    0.000    0.000 GL_4_4.py:12(_f)
        2    0.000    0.000    0.003    0.002 GL_4_5.py:1(<module>)
      122    0.000    0.000    0.001    0.000 GL_4_5.py:12(_f)
        2    0.000    0.000    0.000    0.000 GL_4_6.py:1(<module>)
        4    0.000    0.000    0.000    0.000 GL_4_6.py:12(_f)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:39(LoadingStrategy)
      339    0.001    0.000    0.924    0.003 GifImagePlugin.py:469(_normalize_mode)
      339    0.001    0.000    0.215    0.001 GifImagePlugin.py:494(_normalize_palette)
      676    0.003    0.000    0.739    0.001 GifImagePlugin.py:567(_getbbox)
        1    0.005    0.005    2.425    2.425 GifImagePlugin.py:577(_write_multiple_frames)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:63(GifImageFile)
        1    0.000    0.000    2.428    2.428 GifImagePlugin.py:652(_save_all)
        1    0.002    0.002    2.428    2.428 GifImagePlugin.py:656(_save)
      339    0.002    0.000    0.103    0.000 GifImagePlugin.py:683(_write_local_header)
      678    0.011    0.000    0.195    0.000 GifImagePlugin.py:797(_get_optimize)
      678    0.001    0.000    0.001    0.000 GifImagePlugin.py:843(_get_color_table_size)
      339    0.000    0.000    0.001    0.000 GifImagePlugin.py:853(_get_header_palette)
     1691    0.001    0.000    0.001    0.000 GifImagePlugin.py:871(_get_palette_bytes)
        2    0.000    0.000    0.000    0.000 GifImagePlugin.py:881(_get_background)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:904(_get_global_header)
      339    0.001    0.000    0.496    0.001 GifImagePlugin.py:966(_write_frame_data)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:101(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
      339    0.002    0.000    0.890    0.003 Image.py:1099(quantize)
      678    0.001    0.000    0.038    0.000 Image.py:1177(copy)
      338    0.000    0.000    0.013    0.000 Image.py:1190(crop)
      338    0.001    0.000    0.009    0.000 Image.py:1216(_crop)
      676    0.000    0.000    0.120    0.000 Image.py:1302(getbbox)
        1    0.000    0.000    0.000    0.000 Image.py:136(Transpose)
        1    0.000    0.000    0.000    0.000 Image.py:147(Transform)
        1    0.000    0.000    0.000    0.000 Image.py:156(Resampling)
      339    0.000    0.000    0.000    0.000 Image.py:1577(getpixel)
      678    0.001    0.000    0.178    0.000 Image.py:1604(histogram)
        1    0.000    0.000    0.000    0.000 Image.py:175(Dither)
        1    0.000    0.000    0.000    0.000 Image.py:183(Palette)
        1    0.000    0.000    0.000    0.000 Image.py:188(Quantize)
      679    0.002    0.000    0.007    0.000 Image.py:1916(putpalette)
      339    0.000    0.000    0.001    0.000 Image.py:1951(putpixel)
      339    0.008    0.000    0.116    0.000 Image.py:1994(remap_palette)
        1    0.000    0.000    2.431    2.431 Image.py:2353(save)
      339    0.000    0.000    0.000    0.000 Image.py:243(getmodebase)
      678    0.000    0.000    0.000    0.000 Image.py:2451(seek)
        1    0.000    0.000    0.007    0.007 Image.py:27(<module>)
      678    0.000    0.000    0.001    0.000 Image.py:283(getmodebands)
        1    0.000    0.000    0.000    0.000 Image.py:2851(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2860(ImageTransformHandler)
     1018    0.001    0.000    0.001    0.000 Image.py:2882(_check_size)
      679    0.001    0.000    0.005    0.000 Image.py:2903(new)
      339    0.000    0.000    0.003    0.000 Image.py:2980(frombuffer)
        1    0.000    0.000    0.003    0.003 Image.py:300(preinit)
      339    0.001    0.000    0.003    0.000 Image.py:3037(fromarray)
      338    0.000    0.000    0.000    0.000 Image.py:3168(_decompression_bomb_check)
        6    0.000    0.000    0.000    0.000 Image.py:3414(register_open)
        6    0.000    0.000    0.000    0.000 Image.py:3430(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:3445(register_save)
        2    0.000    0.000    0.000    0.000 Image.py:3456(register_save_all)
       13    0.000    0.000    0.000    0.000 Image.py:3468(register_extension)
        3    0.000    0.000    0.000    0.000 Image.py:3479(register_extensions)
        3    0.000    0.000    0.000    0.000 Image.py:3500(register_decoder)
        1    0.000    0.000    0.000    0.000 Image.py:3588(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3624(Exif)
      339    0.001    0.000    0.002    0.000 Image.py:397(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:424(_E)
        1    0.000    0.000    0.000    0.000 Image.py:467(Image)
     5758    0.003    0.000    0.003    0.000 Image.py:483(__init__)
      678    0.000    0.000    0.000    0.000 Image.py:495(width)
      678    0.000    0.000    0.000    0.000 Image.py:499(height)
     2715    0.000    0.000    0.000    0.000 Image.py:503(size)
    17271    0.001    0.000    0.001    0.000 Image.py:507(mode)
     5079    0.008    0.000    0.016    0.000 Image.py:511(_new)
        1    0.000    0.000    0.000    0.000 Image.py:571(_copy)
        1    0.000    0.000    0.000    0.000 Image.py:577(_ensure_mutable)
        1    0.000    0.000    0.000    0.000 Image.py:64(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:68(DecompressionBombError)
     8127    0.005    0.000    0.008    0.000 Image.py:814(load)
2369/2030    0.008    0.000    1.313    0.001 Image.py:868(convert)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
      676    0.001    0.000    0.289    0.000 ImageChops.py:207(subtract_modulo)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:328(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:358(Parser)
      339    0.001    0.000    0.392    0.001 ImageFile.py:496(_save)
      339    0.001    0.000    0.380    0.001 ImageFile.py:524(_encode_tile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:587(PyCodecState)
        1    0.000    0.000    0.000    0.000 ImageFile.py:598(PyCodec)
        1    0.000    0.000    0.000    0.000 ImageFile.py:670(PyDecoder)
        1    0.000    0.000    0.000    0.000 ImageFile.py:719(PyEncoder)
      339    0.000    0.000    0.000    0.000 ImageFile.py:75(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:85(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageMode.py:16(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:22(ModeDescriptor)
       33    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
     1017    0.001    0.000    0.001    0.000 ImageMode.py:36(getmode)
        1    0.000    0.000    0.001    0.001 ImageOps.py:20(<module>)
